country,year,iso_code,population,gdp,co2,co2_per_capita,co2_per_gdp
Sudan,2000,SDN,27275020,,5.055,0.185,
Suriname,2000,SUR,470944,,2.192,4.655,
Sweden,2000,SWE,8881642,3.03E+11,54.71,6.16,0.18
Switzerland,2000,CHE,7143764,3.16E+11,43.618,6.106,0.138
Syria,2000,SYR,16410848,1.26E+11,50.481,3.076,0.401
Taiwan,2000,TWN,21966528,5.90E+11,226.979,10.333,0.385
Tajikistan,2000,TJK,6216329,10735309824,2.234,0.359,0.208
Tanzania,2000,TZA,33499176,38757965824,2.572,0.077,0.066
Thailand,2000,THA,62952640,5.96E+11,168.8,2.681,0.283
Timor,2000,TLS,884366,,,,
Togo,2000,TGO,4924406,5742626816,1.331,0.27,0.232
Tonga,2000,TON,97962,,0.095,0.973,
Trinidad and Tobago,2000,TTO,1267159,24005326848,24.191,19.091,1.008
Tunisia,2000,TUN,9708347,71818829824,19.672,2.026,0.274
Turkey,2000,TUR,63240196,8.08E+11,229.791,3.634,0.285
Turkmenistan,2000,TKM,4516128,18299170816,37.466,8.296,2.047
Turks and Caicos Islands,2000,TCA,20171,,0.07,3.451,
Tuvalu,2000,TUV,9392,,0.007,0.78,
Uganda,2000,UGA,23650158,28839088128,1.361,0.058,0.047
Ukraine,2000,UKR,48838060,2.53E+11,285.337,5.843,1.127
United Arab Emirates,2000,ARE,3134067,1.53E+11,111.787,35.668,0.73
United Kingdom,2000,GBR,58923304,1.89E+12,567.585,9.633,0.3
United States,2000,USA,281710912,1.30E+13,6010.508,21.336,0.463
Upper-middle-income countries,2000,,2212320391,,7543.334,3.41,0.508
Uruguay,2000,URY,3319734,42357432320,5.268,1.587,0.124
Uzbekistan,2000,UZB,24769956,1.17E+11,120.994,4.885,1.035
Vanuatu,2000,VUT,184964,,0.084,0.456,
Venezuela,2000,VEN,24192450,3.31E+11,151.87,6.278,0.46
Vietnam,2000,VNM,79910416,2.20E+11,52.601,0.658,0.24
World,2000,,6143769179,5.99E+13,25234.207,4.107,0.421
Yemen,2000,YEM,17409070,77750419456,14.475,0.831,0.186
Zambia,2000,ZMB,10415942,14964120576,1.784,0.171,0.119
Zimbabwe,2000,ZWE,11881482,26764978176,13.818,1.163,0.516
